"","incomeChangeHH","age","profile_gender","profile_GOR","profile_socialgrade_cie","pastvote_ge_2019","approveUKGovt"
"2266","It hasn’t changed","63","Female","South West","C1",NA,"Disapprove"
"2267","It hasn’t changed","68","Male","Scotland","E",NA,"Disapprove"
"2268","It has decreased by between a quarter and a half","63","Female","South East","D","Conservative","Neither approve nor disapprove"
"2269","It has decreased by between a quarter and a half","49","Female","West Midlands","C1",NA,"Approve"
"2270","It has decreased by between a quarter and a half","58","Male","South West","A","Conservative","Approve"
"2271","It has decreased by less than a quarter","65","Male","South West","A","Conservative","Disapprove"
"2272","It hasn’t changed","75","Female","East Midlands","C1","Conservative","Strongly approve"
"2273","It has decreased by less than a quarter","60","Male","Scotland","E","Scottish National Party (SNP)","Strongly disapprove"
"2274","It hasn’t changed","47","Female","South West","C2","Labour","Approve"
"2275","It hasn’t changed","71","Female","Wales","A","Liberal Democrat","Approve"
"2276","It hasn’t changed","83","Female","West Midlands","D","Conservative","Approve"
"2277","It has increased","73","Female","South East","B","Labour","Disapprove"
"2278","It hasn’t changed","43","Male","Scotland","C1","Conservative","Strongly approve"
"2279","It hasn’t changed","27","Female","Wales","C2","Labour","Strongly approve"
"2280","It hasn’t changed","35","Male","South East","B","Liberal Democrat","Approve"
"2281","It has decreased by less than a quarter","60","Male","Wales","C2","Conservative","Strongly approve"
"2282","It hasn’t changed","47","Male","North West","B","Labour","Disapprove"
"2283","It hasn’t changed","73","Female","South East","E","Labour","Disapprove"
"2284","Don’t know","24","Female","South East","E",NA,"Neither approve nor disapprove"
"2285","It has decreased by between a quarter and a half","38","Female","North East","C2","Labour","Neither approve nor disapprove"
"2286","It hasn’t changed","39","Male","East Midlands","B","Liberal Democrat","Disapprove"
"2287","It hasn’t changed","56","Female","North West","B","Conservative","Strongly approve"
"2288","It hasn’t changed","71","Male","Scotland","E","Conservative","Strongly disapprove"
"2289","It hasn’t changed","71","Female","North West","B","Labour","Neither approve nor disapprove"
"2290","It is less than half what it was","49","Female","London","C2","Labour","Disapprove"
"2291","It hasn’t changed","67","Male","Yorkshire and the Humber","C2",NA,"Neither approve nor disapprove"
"2292","It hasn’t changed","66","Male","South West","C1","Conservative","Approve"
"2293","It has decreased by between a quarter and a half","48","Female","East Midlands","A","Conservative","Approve"
"2294","It has decreased by less than a quarter","38","Female","Scotland","C2",NA,"Neither approve nor disapprove"
"2295","It hasn’t changed","36","Female","North East","B","Labour","Disapprove"
"2296","It hasn’t changed","28","Female","Yorkshire and the Humber","C1","Liberal Democrat","Disapprove"
"2297","It hasn’t changed","49","Female","Yorkshire and the Humber","A",NA,"Strongly approve"
"2298","It has decreased by less than a quarter","38","Female","South East","A","Labour","Disapprove"
"2299","It hasn’t changed","39","Female","London","C2","Labour","Neither approve nor disapprove"
"2300","It has decreased by less than a quarter","65","Male","East Midlands","A","Labour","Strongly disapprove"
"2301","It hasn’t changed","29","Male","South West","B","Labour","Neither approve nor disapprove"
"2302","It is less than half what it was","53","Male","East of England","E",NA,"Strongly disapprove"
"2303","It hasn’t changed","69","Female","Scotland","B","Scottish National Party (SNP)","Strongly disapprove"
"2304","It has decreased by between a quarter and a half","62","Female","North West","B","Don't know","Approve"
"2305","It hasn’t changed","73","Female","East Midlands","B","Conservative","Approve"
"2306","It is less than half what it was","22","Female","Scotland","C1","Scottish National Party (SNP)","Disapprove"
"2307","Don’t know","43","Male","North West","D",NA,"Neither approve nor disapprove"
"2308","It hasn’t changed","80","Female","South West","C2","Conservative","Strongly disapprove"
"2309","It has decreased by less than a quarter","24","Female","East Midlands","C1",NA,"Neither approve nor disapprove"
"2310","It hasn’t changed","63","Female","Wales","D","Plaid Cymru","Disapprove"
"2311","Don’t know","27","Female","East Midlands","D","Conservative","Neither approve nor disapprove"
"2312","It hasn’t changed","23","Female","South East","E","Liberal Democrat","Disapprove"
"2313","It has decreased by between a quarter and a half","47","Female","Scotland","C1","Conservative","Approve"
"2314","It has decreased by less than a quarter","52","Female","North East","B","Labour","Disapprove"
"2315","It has decreased by less than a quarter","43","Female","Scotland","C1","Liberal Democrat","Neither approve nor disapprove"
"2316","It hasn’t changed","29","Female","South East","C1","Liberal Democrat","Strongly disapprove"
"2317","It hasn’t changed","67","Female","West Midlands","C1","Conservative","Approve"
"2318","It hasn’t changed","71","Male","South East","C2","Conservative","Approve"
"2319","It hasn’t changed","77","Female","East Midlands","A","Conservative","Strongly disapprove"
"2320","It hasn’t changed","32","Female","South West","C1","Conservative","Strongly approve"
"2321","It hasn’t changed","69","Female","South East","C1","Conservative","Approve"
"2322","It hasn’t changed","67","Female","North East","C1","Labour","Neither approve nor disapprove"
"2323","It has decreased by less than a quarter","48","Male","South East","C1","Liberal Democrat","Approve"
"2324","It hasn’t changed","73","Female","West Midlands","C1",NA,"Strongly disapprove"
"2325","It has decreased by between a quarter and a half","67","Female","North West","B","Brexit Party","Neither approve nor disapprove"
"2326","It hasn’t changed","65","Female","South East","C2","Labour","Disapprove"
"2327","It hasn’t changed","36","Female","Wales","D","Labour","Strongly disapprove"
"2328","It has increased","63","Male","Wales","D","Labour","Neither approve nor disapprove"
"2329","It has decreased by less than a quarter","66","Male","West Midlands","C1","Conservative","Approve"
"2330","It has decreased by less than a quarter","27","Female","West Midlands","C1","Conservative","Approve"
"2331","It hasn’t changed","44","Male","Scotland","C1","Scottish National Party (SNP)","Strongly disapprove"
"2332","It hasn’t changed","69","Female","Yorkshire and the Humber","E","Don't know","Approve"
"2333","It has decreased by between a quarter and a half","66","Female","London","C2","Other","Disapprove"
"2334","It hasn’t changed","41","Male","North East","C1","Liberal Democrat","Neither approve nor disapprove"
"2335","It has decreased by less than a quarter","45","Male","East of England","D","Labour","Strongly disapprove"
"2336","It hasn’t changed","68","Female","East of England","D","Liberal Democrat","Approve"
"2337","It hasn’t changed","65","Female","East of England","B","Conservative","Strongly approve"
"2338","It has decreased by less than a quarter","38","Female","South East","B","Conservative","Approve"
"2339","It is less than half what it was","33","Female","Scotland","C2","Scottish National Party (SNP)","Disapprove"
"2340","It hasn’t changed","33","Male","London","A","Green","Approve"
"2341","It has decreased by less than a quarter","21","Male","Scotland","C1","Scottish National Party (SNP)","Disapprove"
"2342","It has decreased by less than a quarter","37","Male","Wales","D","Labour","Neither approve nor disapprove"
"2343","It hasn’t changed","71","Male","North West","C2","Labour","Strongly disapprove"
"2344","It hasn’t changed","57","Male","East Midlands","D","Labour","Strongly disapprove"
"2345","It hasn’t changed","38","Female","Scotland","D","Scottish National Party (SNP)","Strongly disapprove"
"2346","It hasn’t changed","22","Female","Yorkshire and the Humber","E","Labour","Neither approve nor disapprove"
"2347","It has decreased by less than a quarter","65","Male","East Midlands","C2","Labour","Neither approve nor disapprove"
"2348","It has increased","65","Male","Wales","C1",NA,"Approve"
"2349","It has decreased by between a quarter and a half","61","Male","North East","C1","Conservative","Approve"
"2350","It hasn’t changed","75","Male","Yorkshire and the Humber","A","Conservative","Strongly approve"
"2351","It hasn’t changed","54","Female","Scotland","C2","Conservative","Neither approve nor disapprove"
"2352","It hasn’t changed","56","Male","Yorkshire and the Humber","C1","Conservative","Approve"
"2353","It hasn’t changed","64","Female","Scotland","B",NA,"Disapprove"
"2354","It has decreased by less than a quarter","49","Female","London","A","Conservative","Approve"
"2355","It hasn’t changed","37","Female","South East","C1","Conservative","Approve"
"2356","It has decreased by less than a quarter","33","Female","North East","B","Conservative","Neither approve nor disapprove"
"2357","It hasn’t changed","66","Female","Wales","B","Other","Neither approve nor disapprove"
"2358","It has decreased by less than a quarter","36","Male","East of England","B","Green","Disapprove"
"2359","It hasn’t changed","67","Male","East Midlands","C1","Labour","Approve"
"2360","It hasn’t changed","25","Female","South West","B","Liberal Democrat","Approve"
"2361","It has decreased by less than a quarter","48","Female","East Midlands","B",NA,"Neither approve nor disapprove"
"2362","It hasn’t changed","21","Male","Wales","C1","Conservative","Strongly approve"
"2363","Don’t know","34","Female","London","E",NA,"Approve"
"2364","It hasn’t changed","56","Female","South East","E","Liberal Democrat","Approve"
"2365","It hasn’t changed","82","Male","South West","E","Conservative","Disapprove"
"2366","It has decreased by between a quarter and a half","20","Female","London","A","Liberal Democrat","Approve"
"2367","It has decreased by less than a quarter","28","Female","South West","C2","Conservative","Strongly approve"
"2368","Don’t know","72","Male","Yorkshire and the Humber","E","Conservative","Strongly approve"
"2369","It hasn’t changed","69","Female","South East","C2","Conservative","Approve"
"2370","It has decreased by less than a quarter","71","Male","West Midlands","C2","Conservative","Approve"
"2371","It hasn’t changed","67","Male","North West","C2","Conservative","Approve"
"2372","It hasn’t changed","56","Male","East of England","C2",NA,"Neither approve nor disapprove"
"2373","It hasn’t changed","64","Male","South West","D","Conservative","Approve"
"2374","It hasn’t changed","75","Female","West Midlands","C1","Labour","Approve"
"2375","Don’t know","49","Female","South West","C2","Liberal Democrat","Neither approve nor disapprove"
"2376","It hasn’t changed","60","Male","Scotland","C2","Scottish National Party (SNP)","Disapprove"
"2377","It hasn’t changed","49","Female","North West","B","Conservative","Approve"
"2378","It hasn’t changed","67","Female","South East","A","Conservative","Strongly approve"
"2379","It hasn’t changed","57","Female","North West","C1",NA,"Neither approve nor disapprove"
"2380","It hasn’t changed","63","Male","South East","B","Conservative","Approve"
"2381","It has decreased by less than a quarter","74","Male","East Midlands","C2","Conservative","Strongly approve"
"2382","It hasn’t changed","49","Male","East of England","B","Conservative","Approve"
"2383","It has decreased by between a quarter and a half","63","Female","South West","D","Labour","Disapprove"
"2384","It hasn’t changed","75","Male","London","C1","Conservative","Approve"
"2385","It hasn’t changed","38","Female","South East","B","Labour","Approve"
"2386","It hasn’t changed","72","Male","London","C1","Conservative","Approve"
"2387","It hasn’t changed","58","Male","South East","B","Labour","Approve"
"2388","It has decreased by less than a quarter","28","Female","North East","C1","Labour","Approve"
"2389","It hasn’t changed","59","Female","South West","E","Conservative","Strongly approve"
"2390","It hasn’t changed","64","Female","East of England","C1","Green","Neither approve nor disapprove"
"2391","It hasn’t changed","50","Male","Scotland","B","Scottish National Party (SNP)","Strongly disapprove"
"2392","It hasn’t changed","64","Female","Scotland","C1","Conservative","Neither approve nor disapprove"
"2393","It hasn’t changed","68","Female","East of England","C1","Liberal Democrat","Approve"
"2394","It hasn’t changed","67","Female","East Midlands","C1","Liberal Democrat","Approve"
"2395","It has increased","49","Male","London","E","Brexit Party","Approve"
"2396","It hasn’t changed","48","Female","North West","C2","Green","Neither approve nor disapprove"
"2397","It hasn’t changed","61","Female","South West","C2","Brexit Party","Approve"
"2398","It has decreased by less than a quarter","49","Male","South East","C1","Liberal Democrat","Neither approve nor disapprove"
"2399","It hasn’t changed","70","Male","South East","C1","Conservative","Neither approve nor disapprove"
"2400","It has decreased by between a quarter and a half","63","Female","West Midlands","C1","Conservative","Neither approve nor disapprove"
"2401","It hasn’t changed","74","Male","West Midlands","B","Conservative","Neither approve nor disapprove"
"2402","It hasn’t changed","69","Female","East Midlands","E","Conservative","Approve"
"2403","It hasn’t changed","63","Male","Wales","A","Conservative","Strongly disapprove"
"2404","It hasn’t changed","34","Male","West Midlands","E","Conservative","Approve"
"2405","It hasn’t changed","66","Male","West Midlands","C1",NA,"Neither approve nor disapprove"
"2406","It hasn’t changed","60","Male","West Midlands","A","Labour","Neither approve nor disapprove"
"2407","It has decreased by between a quarter and a half","36","Female","East Midlands","C1","Liberal Democrat","Approve"
"2408","It hasn’t changed","47","Female","West Midlands","B","Conservative","Approve"
"2409","It has decreased by between a quarter and a half","48","Female","East of England","C2","Green","Neither approve nor disapprove"
"2410","It hasn’t changed","39","Female","Wales","C2","Labour","Neither approve nor disapprove"
"2411","It is less than half what it was","59","Female","South East","D","Conservative","Approve"
"2412","It hasn’t changed","60","Male","North West","C2","Conservative","Neither approve nor disapprove"
"2413","Don’t know","19","Female","South West","B",NA,"Neither approve nor disapprove"
"2414","It has decreased by between a quarter and a half","42","Female","Yorkshire and the Humber","D","Labour","Disapprove"
"2415","It has increased","21","Female","North West","E","Labour","Neither approve nor disapprove"
"2416","It hasn’t changed","68","Male","North West","E","Conservative","Approve"
"2417","It is less than half what it was","63","Male","North West","C1","Conservative","Neither approve nor disapprove"
"2418","It hasn’t changed","70","Male","Wales","B","Labour","Disapprove"
"2419","It hasn’t changed","41","Male","South West","C1","Conservative","Strongly approve"
"2420","It hasn’t changed","60","Female","South East","A","Liberal Democrat","Strongly disapprove"
"2421","Don’t know","59","Female","South West","D","Conservative","Neither approve nor disapprove"
"2422","It hasn’t changed","49","Male","Scotland","E","Labour","Disapprove"
"2423","It hasn’t changed","67","Female","South West","D","Conservative","Strongly approve"
"2424","It has increased","79","Female","London","C2","Conservative","Strongly approve"
"2425","It has decreased by less than a quarter","61","Male","Wales","C1","Conservative","Approve"
"2426","It hasn’t changed","68","Female","Yorkshire and the Humber","D","Green","Neither approve nor disapprove"
"2427","It hasn’t changed","59","Male","East Midlands","E","Liberal Democrat","Approve"
"2428","It hasn’t changed","22","Male","North East","C1","Labour","Disapprove"
"2429","Don’t know","22","Male","Yorkshire and the Humber","C1","Labour","Disapprove"
"2430","It is less than half what it was","38","Female","South West","C1","Conservative","Strongly approve"
"2431","It has decreased by less than a quarter","39","Male","Scotland","B","Scottish National Party (SNP)","Disapprove"
"2432","It hasn’t changed","68","Male","East Midlands","C2","Conservative","Approve"
"2433","It hasn’t changed","33","Female","North West","C1","Labour","Approve"
"2434","It hasn’t changed","64","Male","East of England","C1","Conservative","Strongly approve"
"2435","It is less than half what it was","65","Male","Scotland","C2",NA,"Neither approve nor disapprove"
"2436","It has decreased by less than a quarter","26","Male","South West","D","Conservative","Approve"
"2437","It has decreased by less than a quarter","46","Male","North West","A","Labour","Strongly disapprove"
"2438","It hasn’t changed","20","Female","North East","C1","Labour","Disapprove"
"2439","It has decreased by less than a quarter","21","Female","East of England","B","Labour","Disapprove"
"2440","It hasn’t changed","66","Female","North West","C2","Conservative","Approve"
"2441","It has decreased by less than a quarter","51","Male","South East","B","Conservative","Approve"
"2442","It hasn’t changed","42","Male","North East","A","Green","Strongly disapprove"
"2443","It hasn’t changed","59","Female","South East","C2","Conservative","Approve"
"2444","It hasn’t changed","32","Male","East of England","C1","Liberal Democrat","Disapprove"
"2445","It has decreased by between a quarter and a half","30","Female","North West","C1","Labour","Neither approve nor disapprove"
"2446","Don’t know","22","Female","South East","A","Liberal Democrat","Neither approve nor disapprove"
"2447","It is less than half what it was","31","Female","North West","B","Conservative","Neither approve nor disapprove"
"2448","It hasn’t changed","54","Female","Wales","E",NA,"Approve"
"2449","It hasn’t changed","72","Female","West Midlands","B","Labour","Disapprove"
"2450","It hasn’t changed","62","Female","North West","B","Conservative","Strongly approve"
"2451","It has decreased by less than a quarter","62","Female","West Midlands","C1","Conservative","Strongly approve"
"2452","It hasn’t changed","51","Female","North West","B",NA,"Neither approve nor disapprove"
"2453","It hasn’t changed","32","Female","East of England","C1","Labour","Disapprove"
"2454","It hasn’t changed","70","Female","Scotland","D","Scottish National Party (SNP)","Neither approve nor disapprove"
"2455","It hasn’t changed","67","Female","West Midlands","C1","Conservative","Approve"
"2456","It hasn’t changed","63","Male","North West","C2",NA,"Neither approve nor disapprove"
"2457","It hasn’t changed","73","Male","Wales","C1","Labour","Approve"
"2458","It hasn’t changed","60","Male","East of England","B","Conservative","Approve"
"2459","It hasn’t changed","73","Female","South East","E",NA,"Disapprove"
"2460","It hasn’t changed","49","Male","London","B","Liberal Democrat","Neither approve nor disapprove"
"2461","It hasn’t changed","64","Female","Scotland","B","Scottish National Party (SNP)","Strongly disapprove"
"2462","It hasn’t changed","54","Male","Wales","E","Conservative","Neither approve nor disapprove"
"2463","It hasn’t changed","60","Female","South East","A","Labour","Disapprove"
"2464","It hasn’t changed","50","Female","South East","D",NA,"Neither approve nor disapprove"
"2465","It hasn’t changed","30","Female","Yorkshire and the Humber","D",NA,"Disapprove"
"2466","Don’t know","48","Female","Yorkshire and the Humber","C2",NA,"Approve"
"2467","It hasn’t changed","73","Female","South East","D","Conservative","Approve"
"2468","It has decreased by less than a quarter","37","Male","West Midlands","B","Labour","Strongly disapprove"
"2469","It hasn’t changed","69","Female","North West","C1",NA,"Approve"
"2470","It hasn’t changed","42","Female","West Midlands","C2",NA,"Disapprove"
"2471","It hasn’t changed","52","Female","East of England","C2","Labour","Disapprove"
"2472","It has decreased by less than a quarter","49","Female","South West","C2",NA,"Approve"
"2473","It is less than half what it was","47","Male","Scotland","E","Scottish National Party (SNP)","Disapprove"
"2474","It hasn’t changed","30","Female","London","C2","Labour","Neither approve nor disapprove"
"2475","It hasn’t changed","59","Male","South West","A","Conservative","Approve"
"2476","It has increased","73","Female","East Midlands","B","Conservative","Strongly approve"
"2477","It has decreased by between a quarter and a half","48","Female","London","A","Liberal Democrat","Neither approve nor disapprove"
"2478","It hasn’t changed","85","Female","East of England","A","Conservative","Approve"
"2479","It has decreased by less than a quarter","58","Female","South West","C1","Conservative","Approve"
"2480","It is less than half what it was","33","Female","North West","D",NA,"Disapprove"
"2481","It is less than half what it was","27","Female","East of England","C2",NA,"Neither approve nor disapprove"
"2482","It hasn’t changed","59","Male","Wales","B","Brexit Party","Approve"
"2483","It is less than half what it was","49","Female","Scotland","E",NA,"Disapprove"
"2484","Don’t know","45","Male","Wales","E","Labour","Neither approve nor disapprove"
"2485","It hasn’t changed","70","Male","Scotland","C1","Labour","Disapprove"
"2486","It has decreased by less than a quarter","42","Female","Wales","C2","Conservative","Neither approve nor disapprove"
"2487","It has increased","48","Male","Wales","C1","Labour","Neither approve nor disapprove"
"2488","It hasn’t changed","42","Female","North East","E","Labour","Strongly disapprove"
"2489","It hasn’t changed","46","Male","South West","C1",NA,"Approve"
"2490","It has increased","47","Male","South West","E","Labour","Neither approve nor disapprove"
"2491","It hasn’t changed","55","Female","West Midlands","B","Labour","Disapprove"
"2492","It has increased","34","Female","North West","E","Conservative","Approve"
"2493","Don’t know","28","Male","North West","E",NA,"Neither approve nor disapprove"
"2494","It has decreased by less than a quarter","45","Female","Yorkshire and the Humber","D","Labour","Neither approve nor disapprove"
"2495","It hasn’t changed","49","Male","Scotland","B","Labour","Neither approve nor disapprove"
"2496","It hasn’t changed","71","Female","North West","A","Liberal Democrat","Approve"
"2497","It hasn’t changed","44","Male","Scotland","B","Liberal Democrat","Neither approve nor disapprove"
"2498","It hasn’t changed","53","Female","South East","C1","Conservative","Approve"
"2499","It hasn’t changed","47","Female","East Midlands","C1","Conservative","Approve"
"2500","It hasn’t changed","24","Female","London","C1","Labour","Neither approve nor disapprove"
"2501","It hasn’t changed","69","Female","South East","C1","Conservative","Strongly approve"
"2502","It hasn’t changed","31","Female","Yorkshire and the Humber","B","Labour","Approve"
"2503","It hasn’t changed","35","Female","West Midlands","B","Labour","Neither approve nor disapprove"
"2504","It hasn’t changed","47","Female","North West","E",NA,"Strongly approve"
"2505","It hasn’t changed","84","Female","North East","C1","Labour","Disapprove"
"2506","Don’t know","44","Male","Yorkshire and the Humber","D",NA,"Neither approve nor disapprove"
"2507","It hasn’t changed","62","Male","North West","D",NA,"Neither approve nor disapprove"
"2508","It is less than half what it was","44","Female","West Midlands","C2",NA,"Approve"
"2509","It hasn’t changed","67","Female","Scotland","E",NA,"Neither approve nor disapprove"
"2510","It hasn’t changed","72","Male","South West","C2","Conservative","Approve"
"2511","It hasn’t changed","57","Female","East of England","E",NA,"Neither approve nor disapprove"
"2512","Don’t know","37","Female","North West","E",NA,"Approve"
"2513","It has decreased by less than a quarter","30","Male","South East","B","Conservative","Approve"
"2514","It hasn’t changed","68","Female","South East","C1","Conservative","Strongly approve"
"2515","Don’t know","39","Male","East Midlands","C1","Labour","Approve"
"2516","It has decreased by less than a quarter","39","Female","East of England","D","Labour","Neither approve nor disapprove"
"2517","It hasn’t changed","21","Female","Scotland","C1","Labour","Neither approve nor disapprove"
"2518","It has decreased by less than a quarter","19","Female","Scotland","C2","Scottish National Party (SNP)","Neither approve nor disapprove"
"2519","It hasn’t changed","49","Female","East Midlands","C1","Labour","Neither approve nor disapprove"
"2520","It is less than half what it was","57","Female","South East","C1","Conservative","Approve"
"2521","It is less than half what it was","35","Male","East Midlands","B","Labour","Strongly disapprove"
"2522","It has increased","66","Female","London","C1","Conservative","Approve"
"2523","It has decreased by between a quarter and a half","41","Female","Yorkshire and the Humber","C1",NA,"Disapprove"
"2524","It hasn’t changed","66","Female","South West","C1","Conservative","Approve"
"2525","It has increased","37","Female","East Midlands","B","Labour","Disapprove"
"2526","It has decreased by less than a quarter","32","Male","West Midlands","C2",NA,"Neither approve nor disapprove"
"2527","It hasn’t changed","33","Male","London","A","Conservative","Approve"
"2528","It has increased","55","Male","West Midlands","D","Conservative","Disapprove"
"2529","It hasn’t changed","37","Male","Scotland","C1",NA,"Strongly disapprove"
"2530","It hasn’t changed","79","Female","South West","A","Liberal Democrat","Strongly disapprove"
"2531","It hasn’t changed","58","Female","South East","C1","Conservative","Neither approve nor disapprove"
"2532","It hasn’t changed","32","Male","Wales","D","Labour","Strongly disapprove"
"2533","It hasn’t changed","58","Male","South West","C2","Conservative","Strongly approve"
"2534","It is less than half what it was","46","Female","North West","C2",NA,"Strongly disapprove"
"2535","It has decreased by less than a quarter","41","Female","East Midlands","B","Don't know","Neither approve nor disapprove"
"2536","It hasn’t changed","56","Female","West Midlands","E","Labour","Neither approve nor disapprove"
"2537","It hasn’t changed","22","Male","East of England","B","Labour","Approve"
"2538","Don’t know","19","Female","Yorkshire and the Humber","D","Labour","Approve"
"2539","It hasn’t changed","33","Male","London","C2","Liberal Democrat","Disapprove"
"2540","It has decreased by less than a quarter","30","Male","Yorkshire and the Humber","C1","Liberal Democrat","Strongly disapprove"
"2541","It hasn’t changed","22","Female","East of England","C1",NA,"Neither approve nor disapprove"
"2542","It hasn’t changed","38","Male","London","C1","Labour","Disapprove"
"2543","It hasn’t changed","33","Male","Scotland","C1","Labour","Strongly disapprove"
"2544","It hasn’t changed","73","Male","North West","C1","Conservative","Approve"
"2545","It hasn’t changed","30","Female","East of England","B","Green","Approve"
"2546","It hasn’t changed","62","Male","West Midlands","C1","Conservative","Strongly disapprove"
"2547","It hasn’t changed","63","Male","North West","B","Conservative","Strongly approve"
"2548","It hasn’t changed","57","Female","Yorkshire and the Humber","B","Conservative","Strongly approve"
"2549","Don’t know","69","Female","London","E","Conservative","Neither approve nor disapprove"
"2550","It hasn’t changed","41","Male","Scotland","C2","Conservative","Approve"
"2551","It is less than half what it was","42","Female","London","C2","Labour","Strongly disapprove"
"2552","It hasn’t changed","49","Male","East of England","A","Conservative","Strongly approve"
"2553","It hasn’t changed","41","Female","South East","A","Conservative","Approve"
"2554","It hasn’t changed","66","Female","South West","B","Liberal Democrat","Disapprove"
"2555","Don’t know","19","Female","Yorkshire and the Humber","B","Brexit Party","Disapprove"
"2556","It hasn’t changed","70","Female","London","C2","Labour","Strongly disapprove"
"2557","It hasn’t changed","43","Male","South East","C1","Conservative","Approve"
"2558","It has decreased by between a quarter and a half","37","Female","West Midlands","C2",NA,"Disapprove"
"2559","It hasn’t changed","23","Female","North East","A",NA,"Approve"
"2560","Don’t know","23","Female","North East","D",NA,"Neither approve nor disapprove"
"2561","It is less than half what it was","22","Female","Scotland","C1","Scottish National Party (SNP)","Strongly disapprove"
"2562","Don’t know","40","Female","South West","D","Labour","Neither approve nor disapprove"
"2563","It hasn’t changed","18","Female","South East","D","Green","Neither approve nor disapprove"
"2564","It has increased","45","Female","London","C2",NA,"Neither approve nor disapprove"
"2565","It hasn’t changed","38","Female","West Midlands","E",NA,"Neither approve nor disapprove"
"2566","It has decreased by less than a quarter","25","Female","West Midlands","A",NA,"Neither approve nor disapprove"
"2567","It has decreased by less than a quarter","21","Female","East Midlands","D","Labour","Neither approve nor disapprove"
"2568","Don’t know","19","Female","East Midlands","D","Don't know","Neither approve nor disapprove"
"2569","It hasn’t changed","66","Female","Yorkshire and the Humber","A","Liberal Democrat","Approve"
"2570","It has decreased by less than a quarter","26","Female","Scotland","D","Scottish National Party (SNP)","Neither approve nor disapprove"
"2571","It is less than half what it was","41","Female","South West","B",NA,"Disapprove"
"2572","It hasn’t changed","35","Female","East of England","D","Liberal Democrat","Neither approve nor disapprove"
"2573","Don’t know","40","Female","East of England","C1",NA,"Neither approve nor disapprove"
"2574","It is less than half what it was","47","Female","Yorkshire and the Humber","C1","Labour","Neither approve nor disapprove"
"2575","It hasn’t changed","24","Female","Yorkshire and the Humber","B","Conservative","Strongly approve"
"2576","It hasn’t changed","62","Male","North West","B",NA,"Disapprove"
"2577","It hasn’t changed","81","Male","South West","C1",NA,"Approve"
"2578","It hasn’t changed","41","Female","North West","B",NA,"Approve"
"2579","It hasn’t changed","24","Female","East Midlands","A","Liberal Democrat","Disapprove"
"2580","It is less than half what it was","33","Male","London","E",NA,"Disapprove"
"2581","It is less than half what it was","31","Female","South West","C1","Conservative","Disapprove"
"2582","It is less than half what it was","56","Female","West Midlands","C2","Don't know","Approve"
"2583","It has decreased by between a quarter and a half","43","Male","Yorkshire and the Humber","C1",NA,"Strongly disapprove"
"2584","It has decreased by less than a quarter","62","Male","North West","C1","Conservative","Strongly approve"
"2585","It has decreased by between a quarter and a half","47","Male","London","C1","Liberal Democrat","Approve"
"2586","It hasn’t changed","63","Female","South West","B","Don't know","Neither approve nor disapprove"
"2587","It has decreased by between a quarter and a half","32","Female","South East","D",NA,"Neither approve nor disapprove"
"2588","Don’t know","21","Female","South West","D",NA,"Strongly disapprove"
"2589","It hasn’t changed","69","Male","North West","E","Brexit Party","Strongly approve"
"2590","It has decreased by less than a quarter","73","Female","South West","E","Conservative","Approve"
"2591","It has decreased by less than a quarter","24","Male","East Midlands","B","Conservative","Approve"
"2592","It hasn’t changed","37","Male","South West","D","Liberal Democrat","Disapprove"
"2593","Don’t know","28","Male","London","B",NA,"Neither approve nor disapprove"
"2594","It has decreased by between a quarter and a half","24","Male","North West","B","Labour","Neither approve nor disapprove"
"2595","It has decreased by between a quarter and a half","23","Female","East Midlands","D","Liberal Democrat","Neither approve nor disapprove"
"2596","It is less than half what it was","23","Female","West Midlands","C1","Labour","Neither approve nor disapprove"
"2597","It has increased","27","Female","East Midlands","C1","Labour","Approve"
"2598","Don’t know","21","Female","East Midlands","C1","Labour","Disapprove"
"2599","It hasn’t changed","63","Female","South East","B","Liberal Democrat","Disapprove"
"2600","It hasn’t changed","44","Female","Yorkshire and the Humber","D",NA,"Approve"
"2601","It has increased","27","Female","London","C2","Labour","Neither approve nor disapprove"
"2602","It is less than half what it was","54","Female","South West","C1","Labour","Neither approve nor disapprove"
"2603","It hasn’t changed","64","Female","South East","C1","Other","Approve"
"2604","It hasn’t changed","41","Female","Yorkshire and the Humber","E","Labour","Approve"
"2605","It hasn’t changed","68","Female","North West","C2","Labour","Disapprove"
"2606","It is less than half what it was","19","Female","North East","D",NA,"Neither approve nor disapprove"
"2607","It hasn’t changed","43","Female","South West","C2","Liberal Democrat","Strongly approve"
"2608","It is less than half what it was","38","Female","South West","B","Conservative","Approve"
"2609","It hasn’t changed","39","Male","Scotland","D","Scottish National Party (SNP)","Neither approve nor disapprove"
"2610","It hasn’t changed","23","Male","East of England","C1","Labour","Neither approve nor disapprove"
"2611","It is less than half what it was","42","Female","Yorkshire and the Humber","C2","Labour","Neither approve nor disapprove"
"2612","It has decreased by less than a quarter","60","Female","Yorkshire and the Humber","C1","Conservative","Approve"
"2613","It hasn’t changed","59","Female","Scotland","C2","Labour","Strongly disapprove"
"2614","Don’t know","28","Male","North West","E","Labour","Disapprove"
"2615","It has decreased by less than a quarter","52","Female","Yorkshire and the Humber","C1","Conservative","Approve"
"2616","It is less than half what it was","49","Male","North West","C1","Labour","Strongly disapprove"
"2617","It hasn’t changed","59","Male","South East","C1","Conservative","Approve"
